filename|id|url|title|categories
AA/wiki_00|12|https://en.wikipedia.org/wiki?curid=12|Anarchism|['All articles with unsourced statements', 'Anarchism', 'Anti-capitalism', 'Anti-fascism', 'Articles containing Spanish-language text', 'Articles lacking reliable references from March 2019', 'Articles prone to spam from November 2014', 'Articles with short description', 'Articles with unsourced statements from March 2019']
AA/wiki_00|25|https://en.wikipedia.org/wiki?curid=25|Autism|['All articles containing potentially dated statements', 'Articles containing potentially dated statements from 2015', 'Articles containing potentially dated statements from 2017', 'Articles containing video clips', 'Articles with Curlie links', 'Articles with short description', 'Autism', 'CS1 German-language sources (de)', 'CS1 Spanish-language sources (es)']
AA/wiki_00|39|https://en.wikipedia.org/wiki?curid=39|Albedo|['Articles containing Latin-language text', 'Articles with unsourced statements from December 2017', 'Articles with unsourced statements from January 2018', 'Articles with unsourced statements from November 2013', 'CS1', 'CS1 maint', 'Climate forcing', 'Climatology', 'Electromagnetic radiation']
AA/wiki_00|290|https://en.wikipedia.org/wiki?curid=290|A|"['Articles with short description', 'Articles with unsourced statements from May 2018', 'Articles with unsourced statements from October 2015', 'CS1', 'Graphemes', 'ISO basic Latin letters', 'Use dmy dates from June 2013', 'Vowel letters', ""Wikipedia articles incorporating a citation from Collier's Encyclopedia""]"
AA/wiki_00|303|https://en.wikipedia.org/wiki?curid=303|Alabama|['AC with 14 elements', 'Alabama', 'All articles containing potentially dated statements', 'All articles to be expanded', 'All articles with failed verification', 'All articles with unsourced statements', 'Articles containing Latin-language text', 'Articles containing potentially dated statements from 1999', 'Articles containing potentially dated statements from 2010']
AA/wiki_00|305|https://en.wikipedia.org/wiki?curid=305|Achilles|['All articles with dead external links', 'Articles containing Ancient Greek-language text', 'Articles with dead external links from June 2017', 'Articles with permanently dead external links', 'Articles with short description', 'Characters in Greek mythology', 'Characters in the Iliad', 'Commons category link is on Wikidata', 'Demigods of Classical mythology']
AA/wiki_00|307|https://en.wikipedia.org/wiki?curid=307|Abraham Lincoln|['1860 United States presidential candidates', '1864 United States presidential candidates', '1865 deaths', '19th-century American politicians', '19th-century Presidents of the United States', 'AC with 21 elements', 'Abraham Lincoln', 'All Wikipedia articles in need of updating', 'All Wikipedia articles needing clarification']
AA/wiki_00|308|https://en.wikipedia.org/wiki?curid=308|Aristotle|['384 BC births', '4th-century BC births', '4th-century BC deaths', '4th-century BC philosophers', '4th-century BC writers', 'AC with 20 elements', 'Academic philosophers', 'Acting theorists', 'Ancient Greek biologists']
AA/wiki_00|309|https://en.wikipedia.org/wiki?curid=309|An American in Paris|['All articles with unsourced statements', 'Articles with International Music Score Library Project links', 'Articles with unsourced statements from December 2018', 'Compositions by George Gershwin', 'Grammy Hall of Fame Award recipients', 'Music about Paris', 'Music commissioned by the New York Philharmonic', 'Pages using authority control with parameters', 'Symphonic poems']
AA/wiki_00|316|https://en.wikipedia.org/wiki?curid=316|Academy Award for Best Production Design|['Awards for best art direction', 'Best Art Direction Academy Award winners', 'Use mdy dates from June 2013']
AA/wiki_00|324|https://en.wikipedia.org/wiki?curid=324|Academy Awards|['Academy Awards', 'All articles containing potentially dated statements', 'All articles to be expanded', 'American annual television specials', 'American film awards', 'Annual events in Los Angeles County, California', 'Articles containing potentially dated statements from 2018', 'Articles needing POV-check from April 2016', 'Articles to be expanded from February 2016']
AA/wiki_00|330|https://en.wikipedia.org/wiki?curid=330|Actrius|['1997 films', 'CS1 Spanish-language sources (es)', 'Catalan-language films', 'Films directed by Ventura Pons', 'Films set in Barcelona', 'Spanish films', 'Use dmy dates from June 2013']
AA/wiki_00|334|https://en.wikipedia.org/wiki?curid=334|International Atomic Time|['Articles containing French-language text', 'Articles containing potentially dated statements from December 2016', 'Time scales', 'Use dmy dates from July 2015']
